journal,lower_quartile,median,upper_quartile,count
Social history of medicine : the journal of the Society for the Social History of Medicine / SSHM,5,5,5,1
Social security bulletin,10,12,13,12
Social studies of science,2,4,5,3
Social work,9,10,13,16
Society of Reproduction and Fertility supplement,10,10,17,2
Soins. Psychiatrie,9,12,13,5
South African journal of surgery. Suid-Afrikaanse tydskrif vir chirurgie,7,8,10,9
"South Carolina nurse (Columbia, S.C. : 1994)",6,6,6,1
South Dakota medicine : the journal of the South Dakota State Medical Association,11,11,11,2
Southern medical journal,8,11,13,217
Sports biomechanics / International Society of Biomechanics in Sports,10,11,12,10
Srpski arhiv za celokupno lekarstvo,6,8,11,50
Stapp car crash journal,12,12,13,4
Stem cells translational medicine,11,17,25,5
"Stress (Amsterdam, Netherlands)",14,16,17,11
Stroke; a journal of cerebral circulation,12,15,18,269
Studies in family planning,11,13,16,26
Studies in health technology and informatics,6,7,10,171
Sudebno-meditsinskaia ekspertiza,6,8,10,31
Sudhoffs Archiv,8,9,10,3
Suicide & life-threatening behavior,11,13,16,22
Surgery,11,13,16,201
"Surgery, gynecology & obstetrics",9,11,15,68
Surgical infections,12,14,19,11
Surgical neurology,8,11,14,100
Survey of ophthalmology,9,11,13,15
Swedish dental journal,9,12,16,15
Swedish dental journal. Supplement,8,14,15,3
Systematic parasitology,7,8,9,16
Tanzania journal of health research,15,15,17,2
Tennessee medicine : journal of the Tennessee Medical Association,8,8,11,4
Texas dental journal,12,12,14,4
Texas medicine,6,8,11,11
"The ABNF journal : official journal of the Association of Black Nursing Faculty in Higher Education, Inc",9,12,19,12
The AIDS reader,6,6,8,2
The Alpha omegan,4,5,7,3
The American Journal of dermatopathology,11,14,17,54
The American journal of bioethics : AJOB,10,14,17,9
The American journal of cardiology,12,14,17,457
The American journal of clinical hypnosis,7,7,13,6
The American journal of clinical nutrition,12,14,18,246
The American journal of drug and alcohol abuse,11,13,15,43
The American journal of emergency medicine,9,12,15,101
The American journal of gastroenterology,11,14,17,200
The American journal of medicine,10,13,16,188
The American journal of nursing,6,8,13,13
The American journal of occupational therapy : official publication of the American Occupational Therapy Association,8,10,13,54
The American journal of physiology,11,14,16,907
The American journal of psychiatry,11,14,17,172
The American journal of psychology,7,9,12,17
The American journal of surgical pathology,11,13,17,114
The American journal of the medical sciences,8,11,14,79
The American journal of tropical medicine and hygiene,10,13,16,240
The American surgeon,9,12,15,148
"The Annals of otology, rhinology & laryngology. Supplement",8,9,14,18
"The Annals of otology, rhinology, and laryngology",10,12,15,125
The Annals of thoracic surgery,9,12,16,490
The Australian and New Zealand journal of surgery,8,11,15,74
The Australian journal of advanced nursing : a quarterly publication of the Royal Australian Nursing Federation,6,8,13,8
The Australian journal of holistic nursing,8,8,8,1
The Biochemical journal,11,13,17,774
The Biological bulletin,7,8,11,18
The British journal of developmental psychology,17,18,18,7
The British journal of educational psychology,11,13,15,17
The British journal of nutrition,12,15,18,180
The British journal of ophthalmology,10,13,15,179
The British journal of radiology,9,10,13,139
The British journal of surgery,10,13,15,176
The Canadian journal of cardiology,10,12,15,57
The Canadian journal of clinical pharmacology = Journal canadien de pharmacologie clinique,10,10,12,4
The Canadian journal of neurological sciences. Le journal canadien des sciences neurologiques,9,12,14,49
The Canadian nurse,6,7,12,8
The Central African journal of medicine,13,14,17,27
The Ceylon medical journal,8,9,14,9
The Chinese journal of dental research : the official journal of the Scientific Section of the Chinese Stomatological Association (CSA),16,17,20,5
The Chinese journal of physiology,9,13,14,15
The Cochrane database of systematic reviews,8,8,8,1
The Consultant pharmacist : the journal of the American Society of Consultant Pharmacists,9,11,13,7
The EMBO journal,12,15,18,309
The Egyptian journal of immunology / Egyptian Association of Immunologists,14,17,18,5
The European journal of esthetic dentistry : official journal of the European Academy of Esthetic Dentistry,17,17,25,2
The European journal of prosthodontics and restorative dentistry,12,13,16,13
The FEBS journal,11,14,18,96
"The Future of children / Center for the Future of Children, the David and Lucile Packard Foundation",9,12,16,3
The Hastings Center report,8,10,12,18
The Indian journal of chest diseases & allied sciences,7,9,16,11
The Indian journal of tuberculosis,8,10,15,7
The International journal of biochemistry,9,11,15,45
The International journal of orofacial myology : official publication of the International Association of Orofacial Myology,10,10,16,2
The International journal of pharmacy practice,12,13,14,5
The International journal of prosthodontics,10,14,17,43
The Israel Medical Association journal : IMAJ,11,13,16,33
The Israel journal of psychiatry and related sciences,10,11,12,8
The Italian journal of biochemistry,9,12,14,11
The Japanese journal of antibiotics,10,12,14,98
The Japanese journal of veterinary research,7,8,11,3
The Joint Commission journal on quality improvement,15,15,15,4
The Journal of allergy and clinical immunology,12,14,17,199
The Journal of antibiotics,7,10,12,111
The Journal of antimicrobial chemotherapy,9,12,14,195
The Journal of applied psychology,8,10,12,47
The Journal of asthma : official journal of the Association for the Care of Asthma,12,14,18,50
The Journal of biological chemistry,12,15,18,3174
The Journal of bone and joint surgery. American volume,11,13,16,168
The Journal of bone and joint surgery. British volume,10,13,15,135
The Journal of cell biology,11,14,18,371
The Journal of clinical dentistry,6,10,13,5
The Journal of clinical endocrinology and metabolism,12,14,17,443
The Journal of clinical ethics,9,9,9,1
The Journal of clinical investigation,12,15,19,440
The Journal of clinical pediatric dentistry,10,11,16,36
The Journal of clinical psychiatry,12,15,18,119
The Journal of communicable diseases,8,12,15,20
The Journal of contemporary health law and policy,8,8,13,2
The Journal of experimental medicine,11,14,17,356
The Journal of experimental zoology,9,11,14,71
The Journal of extra-corporeal technology,12,12,15,10
The Journal of family practice,8,11,13,71
The Journal of general and applied microbiology,7,8,12,8
The Journal of general psychology,8,9,11,20
The Journal of general virology,10,12,15,283
The Journal of genetic psychology,10,12,16,18
The Journal of health administration education,7,7,9,6
The Journal of heart valve disease,12,15,22,50
The Journal of infectious diseases,11,13,17,363
The Journal of international medical research,11,13,15,74
The Journal of investigative dermatology,10,13,16,204
The Journal of medical practice management : MPM,7,7,9,28
The Journal of microwave power and electromagnetic energy : a publication of the International Microwave Power Institute,7,8,12,5
The Journal of nervous and mental disease,12,14,18,80
The Journal of neuroscience : the official journal of the Society for Neuroscience,12,16,20,667
The Journal of neuroscience nursing : journal of the American Association of Neuroscience Nurses,7,9,15,21
The Journal of nursing administration,8,11,13,61
The Journal of nursing education,8,10,14,41
The Journal of nutrition,11,14,17,232
The Journal of oral implantology,11,12,18,14
The Journal of parasitology,8,11,14,159
The Journal of pathology,12,15,19,110
The Journal of pediatrics,11,13,16,268
The Journal of pharmacology and experimental therapeutics,12,15,17,466
The Journal of practical nursing,17,17,17,1
The Journal of psychology,10,11,13,40
The Journal of reproduction and development,12,14,18,22
The Journal of reproductive medicine,9,11,14,136
The Journal of small animal practice,9,11,13,41
The Journal of social psychology,11,14,16,25
The Journal of steroid biochemistry and molecular biology,10,13,17,102
The Journal of surgical research,11,14,16,178
The Journal of the American College of Dentists,6,11,14,7
The Journal of the Arkansas Medical Society,9,10,11,5
The Journal of the Association of Physicians of India,9,11,13,58
The Journal of the Kentucky Medical Association,8,8,15,4
The Journal of the Louisiana State Medical Society : official organ of the Louisiana State Medical Society,8,9,13,26
The Journal of the Michigan Dental Association,10,10,10,1
The Journal of the New York State Nurses' Association,10,10,10,1
The Journal of the Oklahoma State Medical Association,8,10,13,20
The Journal of the Tennessee Dental Association,7,7,11,2
The Journal of thoracic and cardiovascular surgery,11,14,18,249
The Journal of trauma,10,14,17,228
The Journal of urology,9,11,14,571
The Journal of veterinary medical science / the Japanese Society of Veterinary Science,10,11,14,142
The Kansas nurse,5,5,5,1
The Korean journal of internal medicine,9,11,14,20
The Korean journal of parasitology,8,11,13,25
The Laryngoscope,10,13,16,257
The Malaysian journal of pathology,9,13,14,9
The Medical clinics of North America,5,7,9,7
The Medical journal of Australia,9,11,15,195
The Medical journal of Malaysia,9,12,13,55
The Medical letter on drugs and therapeutics,7,7,8,4
The Medico-legal journal,4,4,5,2
The Milbank quarterly,15,15,18,6
The National medical journal of India,8,12,14,20
The Neurodiagnostic journal,6,6,6,1
The New England journal of medicine,13,15,17,208
The New York state dental journal,8,8,13,14
The New Zealand dental journal,9,14,23,3
The New Zealand medical journal,10,12,15,99
The Nursing clinics of North America,10,13,16,18
The Nursing journal of India,5,5,10,2
The Onderstepoort journal of veterinary research,7,9,12,39
The Orthopedic clinics of North America,7,8,11,13
The Penn dental journal,7,7,7,1
The Pharos of Alpha Omega Alpha-Honor Medical Society. Alpha Omega Alpha,10,10,10,1
The Physiologist,5,5,5,1
The Prostate,11,14,17,75
The Psychoanalytic quarterly,7,11,14,22
The Psychoanalytic study of the child,6,11,12,7
The South African journal of communication disorders. Die Suid-Afrikaanse tydskrif vir Kommunikasieafwykings,9,9,11,4
The Southeast Asian journal of tropical medicine and public health,10,12,16,128
The Spanish journal of psychology,10,11,14,12
The Surgical clinics of North America,8,10,12,20
The Turkish journal of pediatrics,8,10,13,44
The Urologic clinics of North America,7,8,11,18
The Veterinary clinics of North America. Food animal practice,6,6,15,2
The Veterinary record,9,11,13,132
The West Indian medical journal,10,13,16,26
The West Virginia medical journal,9,10,13,16
The aging male : the official journal of the International Society for the Study of the Aging Male,13,13,19,2
The international journal of occupational and environmental medicine,22,22,22,1
The international tinnitus journal,14,15,17,5
The journal of adhesive dentistry,15,19,24,21
The journal of evidence-based dental practice,3,4,4,3
The journal of family health care,9,11,14,6
The journal of histochemistry and cytochemistry : official journal of the Histochemistry Society,10,12,16,121
"The journal of investigative dermatology. Symposium proceedings / the Society for Investigative Dermatology, Inc. [and] European Society for Dermatological Research",12,12,14,4
The journal of knee surgery,8,12,14,8
The journal of mental health policy and economics,17,17,17,4
The journal of pastoral care & counseling : JPCC,7,10,17,9
The journal of physical chemistry. B,6,8,10,237
The journal of physician assistant education : the official journal of the Physician Assistant Education Association,6,6,6,1
The journal of spinal cord medicine,14,15,17,21
The journal of supportive oncology,9,16,30,3
The journal of the Royal College of Physicians of Edinburgh,5,8,15,3
The journal of the Royal Society for the Promotion of Health,13,15,15,3
The journal of trauma and acute care surgery,12,16,19,20
"The journals of gerontology. Series A, Biological sciences and medical sciences",12,14,17,54
"The journals of gerontology. Series B, Psychological sciences and social sciences",12,14,18,36
The new microbiologica,8,11,14,22
The patient,16,17,20,5
The practising midwife,13,14,18,6
Therapeutic advances in cardiovascular disease,19,19,21,4
Therapeutic advances in respiratory disease,12,12,17,2
Therapeutic delivery,7,7,18,2
Theriaca,5,5,8,2
Thoracic surgery clinics,7,9,11,3
Thorax,10,12,15,140
Tijdschrift voor diergeneeskunde,7,9,13,50
Tijdschrift voor gerontologie en geriatrie,8,11,14,9
Tijdschrift voor psychiatrie,8,10,13,14
Tissue engineering,11,14,16,25
Topics in stroke rehabilitation,10,13,15,7
Toxicology,11,14,17,139
Toxicology letters,11,12,16,156
Traffic injury prevention,11,14,15,13
Transactions of the American Ophthalmological Society,12,14,18,19
Transfusion,9,12,14,144
Translational research : the journal of laboratory and clinical medicine,16,18,21,6
Transplantation,11,14,17,352
TreatmentUpdate,12,12,12,1
Trends in cell biology,4,5,11,3
Trends in genetics : TIG,5,7,9,15
Trends in microbiology,7,7,10,5
Trials,12,17,20,19
Tropical doctor,7,10,13,26
Tropical gastroenterology : official journal of the Digestive Diseases Foundation,9,12,13,20
Tropical medicine & international health : TM & IH,13,15,17,53
Trustee : the journal for hospital governing boards,6,7,9,22
Tsitologiia,9,11,14,105
Tumori,10,13,16,102
Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,10,13,16,64
U.S. Army Medical Department journal,6,6,6,1
U.S. news & world report,13,13,16,2
Ugeskrift for laeger,8,9,12,188
Ultrasonic imaging,6,9,10,13
Ultrasonics,6,8,11,27
Ultrastructural pathology,8,11,14,33
Ulusal travma ve acil cerrahi dergisi = Turkish journal of trauma & emergency surgery : TJTES,11,12,14,16
"Undersea & hyperbaric medicine : journal of the Undersea and Hyperbaric Medical Society, Inc",11,14,18,17
Urologic nursing,9,10,13,8
Urology,8,10,13,308
Uspekhi fiziologicheskikh nauk,7,8,10,3
Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research,11,15,17,23
Vascular health and risk management,14,16,20,6
Versicherungsmedizin / herausgegeben von Verband der Lebensversicherungs-Unternehmen e.V. und Verband der Privaten Krankenversicherung e.V,8,9,13,13
Vesalius : acta internationales historiae medicinae,7,7,10,2
Vestnik khirurgii imeni I. I. Grekova,9,12,13,157
Vestnik oftalmologii,9,11,14,38
Vestnik otorinolaringologii,8,10,12,33
Vestnik rentgenologii i radiologii,10,12,17,24
Veterinary heritage : bulletin of the American Veterinary History Society,8,8,8,1
"Veterinary journal (London, England : 1997)",10,11,13,48
Veterinary radiology & ultrasound : the official journal of the American College of Veterinary Radiology and the International Veterinary Radiology Association,8,9,12,33
Veterinary therapeutics : research in applied veterinary medicine,12,13,14,8
Violence and victims,12,16,18,23
Viral immunology,12,16,17,19
Virchows Archiv : an international journal of pathology,11,14,16,71
Virology,11,13,16,346
"Vital and health statistics. Ser. 1, Programs and collection procedures",14,14,14,1
"Vital and health statistics. Series 10, Data from the National Health Survey",15,15,21,2
"Vital and health statistics. Series 11, Data from the national health survey",11,11,18,2
"Vital and health statistics. Series 2, Data evaluation and methods research",20,20,20,1
"Vital and health statistics. Series 23, Data from the National Survey of Family Growth",11,11,11,1
Vojnosanitetski pregled. Military-medical and pharmaceutical review,7,9,10,45
Voprosy onkologii,10,12,15,99
Voprosy pitaniia,10,11,12,60
Voprosy virusologii,8,11,13,73
WMJ : official publication of the State Medical Society of Wisconsin,9,10,11,5
Water environment research : a research publication of the Water Environment Federation,7,9,12,22
Water science and technology : a journal of the International Association on Water Pollution Research,7,9,11,184
Wilderness & environmental medicine,11,13,15,16
Women & health,14,15,17,26
Workplace health & safety,9,9,13,6
World Health Organization technical report series,9,9,10,5
World health & population,15,15,19,2
World hospitals and health services : the official journal of the International Hospital Federation,7,9,11,11
World journal of orthodontics,18,20,20,6
World neurosurgery,16,18,20,12
"Yeast (Chichester, England)",8,11,16,51
Zebrafish,8,8,9,6
Zhen ci yan jiu = Acupuncture research / [Zhongguo yi xue ke xue yuan Yi xue qing bao yan jiu suo bian ji],10,11,13,16
Zhongguo dang dai er ke za zhi = Chinese journal of contemporary pediatrics,8,10,12,24
Zhongguo gu shang = China journal of orthopaedics and traumatology,9,11,12,30
Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,7,9,11,14
Zhongguo yi miao he mian yi,9,9,10,4
Zhongguo zhen jiu = Chinese acupuncture & moxibustion,9,10,11,44
"Zhurnal mikrobiologii, epidemiologii, i immunobiologii",8,11,14,155
[Hokkaido igaku zasshi] The Hokkaido journal of medical science,10,11,14,40
