word,count,journal,in_that_journal
Enbucrilate,5,The British journal of ophthalmology,1
Uranium Compounds,5,Environmental science & technology,2
Speech Recognition Software,5,Studies in health technology and informatics,2
Niger,5,Journal of tropical pediatrics,1
Lactase,5,The Journal of biological chemistry,1
Razoxane,5,Clinical & experimental metastasis,1
Great Lakes Region,5,Environmental science & technology,3
"Diet, Cariogenic",5,The Journal of family practice,1
Cupriavidus necator,5,Biotechnology and bioengineering,2
"Anemia, Refractory, with Excess of Blasts",5,Blood,1
Melanophores,5,Molecular pharmacology,1
Organothiophosphates,5,Journal of economic entomology,2
"Hemostasis, Endoscopic",5,The American journal of gastroenterology,2
Cyproterone,5,The Prostate,1
Amitrole,5,The Biochemical journal,1
Ambrosia,5,The Journal of pharmacology and experimental therapeutics,1
Claudin-3,5,American journal of physiology. Renal physiology,1
COP-Coated Vesicles,5,The Journal of cell biology,2
Prilocaine,5,Anaesthesia,1
Dentigerous Cyst,5,The Journal of small animal practice,1
Butter,5,The American journal of clinical nutrition,1
Polyomaviridae,5,Journal of virology,3
Extraction and Processing Industry,5,Gigiena i sanitariia,1
Atropine Derivatives,5,Chest,1
"Echinococcosis, Pulmonary",5,Vestnik khirurgii imeni I. I. Grekova,2
Drug Partial Agonism,5,Journal of medicinal chemistry,4
"1,4-alpha-Glucan Branching Enzyme",5,The Journal of biological chemistry,2
Hospital Shared Services,5,Hospitals & health networks / AHA,1
Tissue Kallikreins,5,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,1
"Europe, Eastern",5,British journal of nursing (Mark Allen Publishing),1
Immobilized Proteins,5,Journal of nanoscience and nanotechnology,1
"Neoplasms, Nerve Tissue",5,Journal of neurosurgery,1
"Uveitis, Posterior",5,Archives of ophthalmology,2
Prekallikrein,5,The Journal of clinical investigation,1
Plant Epidermis,5,Natural product communications,1
Single-Chain Antibodies,5,Clinical and experimental immunology,1
"Muscular Dystrophies, Limb-Girdle",5,Neurology,1
"Dental Occlusion, Traumatic",5,The International journal of prosthodontics,1
"Dental Occlusion, Centric",5,The International journal of prosthodontics,1
"vif Gene Products, Human Immunodeficiency Virus",5,The Journal of general virology,2
Fibroblast Growth Factor 4,5,"Development (Cambridge, England)",3
Placental Hormones,5,Nucleic acids research,1
"Air Pollution, Radioactive",5,Health physics,5
Lipoylation,5,The Journal of biological chemistry,2
"Anemia, Refractory",5,Southern medical journal,1
Plant Tumors,5,Journal of bacteriology,2
"Tuberculosis, Urogenital",5,The Journal of urology,1
CD-ROM,5,Pediatric blood & cancer,1
"Peritonitis, Tuberculous",5,"Journal of Ayub Medical College, Abbottabad : JAMC",1
Hydroxymethylglutaryl-CoA Synthase,5,The Journal of biological chemistry,3
Aspartate Ammonia-Lyase,5,"Microbiology (Reading, England)",1
Blastomycosis,5,Radiology,1
Potassium Permanganate,5,The Journal of biological chemistry,2
Kell Blood-Group System,5,Transfusion,4
Macrocyclic Compounds,5,The Journal of neuroscience : the official journal of the Society for Neuroscience,1
Iridoids,5,Journal of natural products,1
Cephalosporinase,5,FEMS microbiology letters,1
"Meningitis, Cryptococcal",5,Proceedings of the National Academy of Sciences of the United States of America,1
"Decision Support Systems, Management",5,Journal of healthcare information management : JHIM,1
Nonoxynol,5,Virology,1
Inosine Pranobex,5,Orvosi hetilap,1
Interleukin-9,5,Immunogenetics,1
Cryoultramicrotomy,5,Current protocols in molecular biology / edited by Frederick M. Ausubel ... [et al.],1
Viscosupplements,5,Journal of orthopaedic research : official publication of the Orthopaedic Research Society,2
Observational Study as Topic,5,The American journal of clinical nutrition,1
Refusal to Treat,5,AIDS policy & law,3
"Glucan Endo-1,3-beta-D-Glucosidase",5,International microbiology : the official journal of the Spanish Society for Microbiology,1
Otolithic Membrane,5,The Journal of neuroscience : the official journal of the Society for Neuroscience,1
"Audiometry, Speech",5,Journal of the American Academy of Audiology,2
RNA Ligase (ATP),5,Bioorganicheskaia khimiia,2
Ellipticines,5,Journal of natural products,1
Antifreeze Proteins,5,Journal of toxicology and environmental health. Part A,1
Cranial Nerve Injuries,5,The Journal of thoracic and cardiovascular surgery,1
Whole Blood Coagulation Time,5,Journal of biomedical nanotechnology,1
Daptomycin,5,The Journal of antimicrobial chemotherapy,2
Hypothalamic Hormones,5,Endocrinology,1
"Fasciitis, Necrotizing",5,Journal of clinical microbiology,1
Canaries,5,"Veterinary journal (London, England : 1997)",1
Consciousness Disorders,5,The American surgeon,1
Onions,5,Indian journal of experimental biology,1
Axis,5,Journal of neurosurgery. Spine,1
Neuropilin-2,5,"Science (New York, N.Y.)",1
Hemoglobin A2,5,American journal of hematology,2
Sneezing,5,"Revista alergia Mexico (Tecamachalco, Puebla, Mexico : 1993)",1
Activating Transcription Factor 3,5,Endocrinology,1
Dysentery,5,The Journal of general virology,1
Fragaria,5,BMC plant biology,2
T-Cell Antigen Receptor Specificity,5,"Journal of immunology (Baltimore, Md. : 1950)",2
Gonadotrophs,5,Endocrinology,3
Cartilage Diseases,5,Clinical orthopaedics and related research,2
Ficusin,5,Chemico-biological interactions,1
Sense Organs,5,The EMBO journal,1
Interferon Regulatory Factor-7,5,Brain : a journal of neurology,1
National Institute of Mental Health (U.S.),5,Journal of acquired immune deficiency syndromes (1999),1
Mucorales,5,Journal of clinical microbiology,1
Mansonelliasis,5,The American journal of tropical medicine and hygiene,2
Mansonella,5,The American journal of tropical medicine and hygiene,3
Fowlpox virus,5,Avian diseases,2
Zanamivir,5,The Journal of infectious diseases,2
Zygomatic Fractures,5,Plastic and reconstructive surgery,2
State Dentistry,5,Community dental health,2
Cytochrome a Group,5,Biochemistry,2
Angioid Streaks,5,American journal of ophthalmology,2
"Nuclear Receptor Subfamily 4, Group A, Member 2",5,Journal of neurochemistry,2
"Hypothalamus, Posterior",5,Experimental neurology,2
Chromatin Assembly Factor-1,5,Blood,1
"Retinal Necrosis Syndrome, Acute",5,"Retina (Philadelphia, Pa.)",1
Housing for the Elderly,5,Aging clinical and experimental research,2
Casein Kinase I,5,Genes & development,1
Retinoschisis,5,"Retina (Philadelphia, Pa.)",2
Metabolic Engineering,5,BMC systems biology,1
Radioactive Tracers,5,Pediatric research,1
Myeloblastin,5,The Journal of biological chemistry,2
Computer Peripherals,5,Journal of environmental health,1
Cholestanetriol 26-Monooxygenase,5,Biochemical and biophysical research communications,1
Plant Stomata,5,Physiologia plantarum,3
Bronchopulmonary Sequestration,5,The Annals of thoracic surgery,2
Tobamovirus,5,Archives of virology,3
Thyroiditis,5,The Journal of clinical endocrinology and metabolism,3
Psyllium,5,Gut,1
G1 Phase Cell Cycle Checkpoints,5,"Pathobiology : journal of immunopathology, molecular and cellular biology",1
"Tuberculosis, Cutaneous",5,Journal of the American Academy of Dermatology,2
Subtilisin,5,Biochimica et biophysica acta,1
Maternal-Child Nursing,5,The Journal of nursing education,2
Emetine,5,Molecular immunology,1
Calsequestrin,5,American journal of physiology. Heart and circulatory physiology,1
Chylothorax,5,Thorax,1
Cyclin D3,5,Journal of neurochemistry,1
Central Nervous System Infections,5,Journal of neurosurgery. Pediatrics,1
Muscidae,5,Journal of economic entomology,3
"5,7-Dihydroxytryptamine",5,The Journal of pharmacology and experimental therapeutics,4
rab3 GTP-Binding Proteins,5,Annals of the New York Academy of Sciences,1
Polonium,5,Health physics,3
Rhizophoraceae,5,Natural product communications,1
Cinchona Alkaloids,5,Journal of chromatography,1
Rotaxanes,5,"Chemistry (Weinheim an der Bergstrasse, Germany)",1
Vibrio vulnificus,5,Journal of microbiological methods,1
Carbodiimides,5,Biochimica et biophysica acta,2
Avena sativa,5,International archives of allergy and immunology,1
"Follicle Stimulating Hormone, Human",5,Fertility and sterility,4
COUP Transcription Factor I,5,Molecular and cellular biology,2
Myocardial Perfusion Imaging,5,Journal of the American College of Cardiology,2
Agouti Signaling Protein,5,Endocrinology,1
Gliclazide,5,Lancet,1
Octopamine,5,Neuron,1
American Medical Association,5,Modern healthcare,1
Odontogenic Cysts,5,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,2
Aminophenols,5,Journal of mass spectrometry : JMS,1
Osteosclerosis,5,The Journal of clinical endocrinology and metabolism,1
Hypoproteinemia,5,Journal of internal medicine,1
"Receptors, Lipoxin",5,American journal of physiology. Lung cellular and molecular physiology,1
Anterior Horn Cells,5,Neurologia i neurochirurgia polska,1
Receptor Tyrosine Kinase-like Orphan Receptors,5,"Development (Cambridge, England)",2
"Metals, Alkaline Earth",5,Chemosphere,1
Phakic Intraocular Lenses,5,European journal of ophthalmology,2
Medical Informatics Computing,5,Studies in health technology and informatics,3
CCR5 Receptor Antagonists,5,Journal of chemical information and modeling,1
Hair Preparations,5,Cutis,2
Antidiuretic Hormone Receptor Antagonists,5,Cancer,1
"Adenoma, Chromophobe",5,Cancer,2
Subdural Space,5,Journal of neurosurgery,1
Symptom Assessment,5,Annals of neurology,1
SAIDS Vaccines,5,Journal of virology,2
Pituitary Function Tests,5,The Journal of clinical endocrinology and metabolism,2
Porphyria Cutanea Tarda,5,"Hepatology (Baltimore, Md.)",1
Health Resorts,5,Gesnerus,1
"Receptors, Prostaglandin E, EP3 Subtype",5,"Arteriosclerosis, thrombosis, and vascular biology",1
Desmocollins,5,Experimental cell research,1
Carbonated Beverages,5,Journal of economic entomology,1
Dental Restoration Wear,5,Operative dentistry,2
Aconitine,5,The Journal of biological chemistry,1
Ferrocyanides,5,Health physics,2
Radio,5,"Science (New York, N.Y.)",2
Oculomotor Nerve Diseases,5,Investigative ophthalmology & visual science,1
Coxiella,5,American journal of epidemiology,1
"Myelitis, Transverse",5,Neurology,1
"Insemination, Artificial, Heterologous",5,Fertility and sterility,4
"RNA, Small Untranslated",5,BMC genomics,1
Tape Recording,5,Journal of music therapy,1
Syndactyly,5,The American journal of physiology,1
Ethacrynic Acid,5,Endocrinology,1
Camellia sinensis,5,Journal of natural products,2
Achlorhydria,5,Clinical pharmacology and therapeutics,2
"Tooth Eruption, Ectopic",5,The Journal of clinical pediatric dentistry,2
"Angina Pectoris, Variant",5,Circulation,1
"CDC28 Protein Kinase, S cerevisiae",5,The Journal of biological chemistry,2
Bloom Syndrome,5,The EMBO journal,1
"Conjunctivitis, Bacterial",5,American journal of ophthalmology,1
Signal-To-Noise Ratio,5,Journal of cardiovascular magnetic resonance : official journal of the Society for Cardiovascular Magnetic Resonance,1
Batrachotoxins,5,Molecular pharmacology,2
Computer Literacy,5,Studies in health technology and informatics,2
gamma-Cyclodextrins,5,British journal of anaesthesia,2
"Twins, Conjoined",5,The British journal of surgery,2
Hepatorenal Syndrome,5,Transplantation,1
Gymnastics,5,Journal of the American Dietetic Association,2
Nalbuphine,5,British journal of anaesthesia,1
Clitoris,5,The Journal of urology,2
Iloprost,5,The Journal of biological chemistry,1
"Mastectomy, Simple",5,The New England journal of medicine,1
Mental Healing,5,Journal of the American Academy of Dermatology,1
Strophanthidin,5,Circulation research,2
Oxandrolone,5,Pediatric blood & cancer,1
Calgranulin B,5,Journal of neuroimmunology,1
Tropicamide,5,Ophthalmology,1
Helix-Turn-Helix Motifs,5,The Journal of biological chemistry,1
Schistosomiasis japonica,5,The American journal of tropical medicine and hygiene,2
Androstanes,5,Biochimica et biophysica acta,2
Naphthalimides,5,The journal of physical chemistry. B,1
Porcine respiratory and reproductive syndrome virus,5,BMC veterinary research,1
Porcine Reproductive and Respiratory Syndrome,5,BMC veterinary research,1
Dicumarol,5,Journal of neurochemistry,2
Adrenodoxin,5,Biochimica et biophysica acta,1
Rhizotomy,5,Clinical orthopaedics and related research,1
"Granuloma, Giant Cell",5,Harefuah,1
11-beta-Hydroxysteroid Dehydrogenase Type 2,5,The Journal of steroid biochemistry and molecular biology,1
Duodenogastric Reflux,5,Digestive diseases and sciences,2
Pneumopericardium,5,Ulusal travma ve acil cerrahi dergisi = Turkish journal of trauma & emergency surgery : TJTES,1
Dibenzoxazepines,5,The Journal of clinical psychiatry,2
Protein D-Aspartate-L-Isoaspartate Methyltransferase,5,Biochemical and biophysical research communications,1
Hemodialysis Solutions,5,CANNT journal = Journal ACITN,1
Chlorpropamide,5,FEBS letters,1
"3,4-Dichloro-N-methyl-N-(2-(1-pyrrolidinyl)-cyclohexyl)-benzeneacetamide, (trans)-Isomer",5,The Journal of pharmacology and experimental therapeutics,2
Genetic Research,5,Social studies of science,1
Sialic Acid Binding Ig-like Lectin 2,5,Blood,2
Chlorates,5,Biochemistry,1
Food Labeling,5,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,1
Gestational Trophoblastic Disease,5,Gynecologic oncology,2
Coronary Occlusion,5,The American journal of cardiology,2
Mazindol,5,Journal of medicinal chemistry,1
Candy,5,Diseases of the colon and rectum,1
Angiolymphoid Hyperplasia with Eosinophilia,5,Dermatologic surgery : official publication for American Society for Dermatologic Surgery [et al.],1
Organic Cation Transporter 1,5,The Journal of pharmacology and experimental therapeutics,1
Maximal Midexpiratory Flow Rate,5,Thorax,2
"Chemistry Techniques, Synthetic",5,Journal of medicinal chemistry,3
Plasmodium malariae,5,The American journal of tropical medicine and hygiene,3
Cervical Ripening,5,Lancet,2
Transillumination,5,B-ENT,1
"Lens Nucleus, Crystalline",5,"Ophthalmic surgery, lasers & imaging : the official journal of the International Society for Imaging in the Eye",2
Garcinia,5,Journal of natural products,3
Empirical Research,5,Journal of law and medicine,1
Light-Curing of Dental Adhesives,5,The journal of adhesive dentistry,2
Mumps Vaccine,5,Voprosy virusologii,2
Methionine Sulfoxide Reductases,5,The Journal of biological chemistry,1
End Stage Liver Disease,5,Canadian journal of gastroenterology = Journal canadien de gastroenterologie,2
Peroxisomal Disorders,5,Life sciences,1
Tay-Sachs Disease,5,Journal of neurochemistry,1
Integrin alpha2,5,"Journal of immunology (Baltimore, Md. : 1950)",2
Minority Health,5,Annals of the New York Academy of Sciences,1
Virosomes,5,Viral immunology,1
Thyroid Hormone Receptors alpha,5,Endocrinology,1
"Gene Products, vpr",5,Journal of virology,3
Perioperative Period,5,Arthritis care & research,1
Rhenium,5,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",1
Angiomatosis,5,"Retina (Philadelphia, Pa.)",1
Mucin-5B,5,Cancer science,1
Labor Onset,5,Clinical and experimental obstetrics & gynecology,1
Trail Making Test,5,Perceptual and motor skills,2
"Asia, Central",5,MMWR. Morbidity and mortality weekly report,1
Textbooks as Topic,5,AIDS education and prevention : official publication of the International Society for AIDS Education,1
"Eye Diseases, Hereditary",5,"Oftalmologia (Bucharest, Romania : 1990)",1
Desmosine,5,Biochimica et biophysica acta,1
Emodin,5,IET nanobiotechnology / IET,1
Sugar Alcohol Dehydrogenases,5,Applied and environmental microbiology,1
Pentoses,5,Applied and environmental microbiology,3
Tropolone,5,Biochemistry,2
Shikimic Acid,5,Journal of bacteriology,2
Integrin alpha1beta1,5,International journal of cancer. Journal international du cancer,1
Flavonols,5,International journal of cancer. Journal international du cancer,2
Frontal Sinusitis,5,American journal of rhinology,1
DEAE-Dextran,5,Journal of general microbiology,1
Product Packaging,5,Medical device technology,3
Proto-Oncogene Proteins c-bcr,5,Leukemia,1
Corynebacterium glutamicum,5,Biochemistry,1
Lupus Vulgaris,5,Cutis,2
Apigenin,5,The Journal of biological chemistry,1
Quisqualic Acid,5,Proceedings of the National Academy of Sciences of the United States of America,2
Porphobilinogen,5,The Journal of clinical investigation,1
Endotamponade,5,"Retina (Philadelphia, Pa.)",2
Cochlear Diseases,5,Revue de laryngologie - otologie - rhinologie,1
Serotonin 5-HT3 Receptor Antagonists,5,Pediatric blood & cancer,1
"Paralyses, Familial Periodic",5,Journal of the Indian Medical Association,1
Hypokalemic Periodic Paralysis,5,The American journal of the medical sciences,2
Vascular Endothelial Growth Factor B,5,Nature,1
Fatty Acid Transport Proteins,5,The Journal of biological chemistry,2
Patient Protection and Affordable Care Act,5,The Milbank quarterly,1
Mainstreaming (Education),5,American annals of the deaf,3
Periaqueductal Gray,5,The Journal of neuroscience : the official journal of the Society for Neuroscience,2
Phenylalanine Ammonia-Lyase,5,Biochemistry,2
Hospital Communication Systems,5,ED management : the monthly update on emergency department management,2
Magnaporthe,5,Biochemical and biophysical research communications,1
Lincomycin,5,The Orthopedic clinics of North America,1
HLA-A24 Antigen,5,"Cancer immunology, immunotherapy : CII",1
"Osteoarthropathy, Secondary Hypertrophic",5,Journal of vascular surgery,1
Purple Membrane,5,The journal of physical chemistry. B,1
Endocardial Cushion Defects,5,The Journal of thoracic and cardiovascular surgery,1
"Chemokines, CX3C",5,"Journal of immunology (Baltimore, Md. : 1950)",2
Amobarbital,5,Epilepsia,2
Health Care Coalitions,5,Journal of palliative care,1
Thyroid Crisis,5,The Journal of the Association of Physicians of India,1
Metaphor,5,Journal of the American Geriatrics Society,1
Dental Auxiliaries,5,International dental journal,2
Solar System,5,"Science (New York, N.Y.)",4
Crithidia fasciculata,5,Experimental parasitology,1
Acebutolol,5,The American journal of cardiology,2
Cefmetazole,5,Gan to kagaku ryoho. Cancer & chemotherapy,1
Karyotype,5,Cytogenetic and genome research,2
Thalamic Diseases,5,Brain : a journal of neurology,1
Zinostatin,5,Biochemistry,2
Intracranial Thrombosis,5,Blood,1
Androgen-Insensitivity Syndrome,5,Immunogenetics,1
Phycoerythrin,5,Journal of immunological methods,2
Uridine Diphosphate,5,The Journal of biological chemistry,2
Aspartate-tRNA Ligase,5,Nucleic acids research,3
Toll-Like Receptor 6,5,Molecular immunology,1
Hemoglobin SC Disease,5,Archives of pediatrics & adolescent medicine,1
Malassezia,5,Critical care medicine,1
Preconception Care,5,Irish medical journal,2
Cytochrome P-450 CYP3A Inhibitors,5,Cancer chemotherapy and pharmacology,1
Cardiac Glycosides,5,Biochemical pharmacology,2
Vitamin B 6,5,Cancer chemotherapy and pharmacology,1
Lentigo,5,Journal of the American Academy of Dermatology,2
Amdinocillin,5,The American journal of medicine,2
School Dentistry,5,Community dental health,1
Syria,5,British journal of cancer,1
Insufflation,5,Anesthesia and analgesia,1
"Lipoproteins, HDL3",5,Biochemical and biophysical research communications,2
Algeria,5,Cancer,1
Azadirachta,5,"Acta crystallographica. Section C, Crystal structure communications",1
"Brain Diseases, Metabolic",5,"Journal of neurology, neurosurgery, and psychiatry",1
Azabicyclo Compounds,5,Organic letters,2
Actin-Related Protein 2,5,The Journal of cell biology,2
Kv1.5 Potassium Channel,5,American journal of physiology. Heart and circulatory physiology,2
Utrophin,5,Proceedings of the National Academy of Sciences of the United States of America,1
Glucocorticoid-Induced TNFR-Related Protein,5,"Journal of immunology (Baltimore, Md. : 1950)",2
Hexosediphosphates,5,The Journal of biological chemistry,1
Maus Elberfeld virus,5,Virology,1
Vesicular Monoamine Transport Proteins,5,The Biochemical journal,1
United States Public Health Service,5,"Public health reports (Washington, D.C. : 1974)",2
Body Fluid Compartments,5,"Acta oncologica (Stockholm, Sweden)",1
Agrochemicals,5,Journal of environmental quality,2
"Fatty Liver, Alcoholic",5,The Journal of pharmacology and experimental therapeutics,1
Pyrus,5,Journal of bacteriology,1
"Immunodeficiency Virus, Feline",5,Virology,2
Beckwith-Wiedemann Syndrome,5,Pediatric and developmental pathology : the official journal of the Society for Pediatric Pathology and the Paediatric Pathology Society,1
Monocarboxylic Acid Transporters,5,American journal of physiology. Endocrinology and metabolism,2
Pseudomyxoma Peritonei,5,Human pathology,2
Unconscious (Psychology),5,Anaesthesia,1
Materia Medica,5,Meditsinskaia parazitologiia i parazitarnye bolezni,1
Hymenolepiasis,5,Meditsinskaia parazitologiia i parazitarnye bolezni,1
Fetofetal Transfusion,5,American journal of obstetrics and gynecology,2
Entamoebiasis,5,The Journal of the Association of Physicians of India,1
"Receptors, Interleukin-3",5,"Journal of immunology (Baltimore, Md. : 1950)",2
Lasalocid,5,Poultry science,1
Lentivirus Infections,5,Virology,3
Azygos Vein,5,The Annals of thoracic surgery,2
Oligoclonal Bands,5,Annals of neurology,2
Interspersed Repetitive Sequences,5,Journal of clinical microbiology,2
Operating Room Nursing,5,Acta anaesthesiologica Scandinavica,2
"Optic Atrophy, Hereditary, Leber",5,Ophthalmology,1
Subtalar Joint,5,Journal of orthopaedic research : official publication of the Orthopaedic Research Society,1
Subdural Effusion,5,Journal of neurosurgery,2
Glial Cell Line-Derived Neurotrophic Factor Receptors,5,The EMBO journal,1
"Lasers, Gas",5,"Retina (Philadelphia, Pa.)",2
Nasopharyngeal Diseases,5,Journal of the American Veterinary Medical Association,1
"Receptors, Lysophospholipid",5,Experimental cell research,1
Archaeology,5,Proceedings of the National Academy of Sciences of the United States of America,2
Microbial Consortia,5,Applied and environmental microbiology,3
"RNA, Transfer, Gln",5,Biochemistry,2
Excitatory Amino Acid Agents,5,Journal of medicinal chemistry,1
"Genes, Switch",5,Applied and environmental microbiology,1
Otosclerosis,5,The Laryngoscope,2
Blattellidae,5,Journal of economic entomology,2
Neonatal Nursing,5,Pediatric nursing,2
Cerium,5,Journal of environmental sciences (China),1
Methyltestosterone,5,Oncology,1
Airway Management,5,The Laryngoscope,2
Enteroendocrine Cells,5,Histology and histopathology,1
Ginkgolides,5,Blood,1
Bacteriocin Plasmids,5,Journal of bacteriology,1
Carbon-Carbon Lyases,5,Environmental science & technology,1
Secretoglobins,5,Journal of neurochemistry,1
"Bile Ducts, Extrahepatic",5,"International journal of radiation oncology, biology, physics",2
RNA Transport,5,Molecular and cellular biology,1
Dibucaine,5,Biochimica et biophysica acta,2
Spondylarthropathies,5,Arthritis and rheumatism,2
Equol,5,Carcinogenesis,1
American Heart Association,5,Circulation,2
Salt-Tolerance,5,Gene,1
Inteins,5,Journal of molecular biology,2
"Signal Detection, Psychological",5,The Journal of neuroscience : the official journal of the Society for Neuroscience,2
Keratin-14,5,The Journal of investigative dermatology,2
Nasal Lavage Fluid,5,American journal of respiratory and critical care medicine,1
Oncolytic Viruses,5,Journal of virology,2
Heterotrophic Processes,5,Applied and environmental microbiology,2
Neuroendocrine Secretory Protein 7B2,5,Endocrinology,2
"Tuberculosis, Miliary",5,Tropical doctor,1
Parathyroid Diseases,5,The Journal of clinical endocrinology and metabolism,1
Isopoda,5,The Journal of parasitology,1
HLA-DR3 Antigen,5,Diabetes,1
Myanmar,5,AIDS research and human retroviruses,1
Pyrimidine Nucleotides,5,Nucleic acids research,1
Light Signal Transduction,5,The Journal of neuroscience : the official journal of the Society for Neuroscience,1
Lactobacillus plantarum,5,"Acta crystallographica. Section F, Structural biology and crystallization communications",2
Carbamoyl-Phosphate Synthase (Ammonia),5,The New England journal of medicine,1
Optogenetics,5,Nature,2
Phlorhizin,5,Pediatric research,1
Borrelia Infections,5,Parasite immunology,1
Speech-Language Pathology,5,Rural and remote health,1
Mullerian Ducts,5,Fertility and sterility,3
Amanita,5,Folia medica,1
Anthralin,5,Molecular carcinogenesis,1
"Pathology, Molecular",5,Studies in health technology and informatics,1
"Orthodontic Appliances, Removable",5,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",3
Arecoline,5,Die Pharmazie,1
"Nuclear Receptor Subfamily 1, Group F, Member 3",5,European journal of immunology,1
Interleukin-3 Receptor alpha Subunit,5,"Journal of immunology (Baltimore, Md. : 1950)",2
"Leukomalacia, Periventricular",5,Archives of disease in childhood,2
Posterior Cruciate Ligament,5,The Journal of bone and joint surgery. American volume,2
"Diuretics, Osmotic",5,Critical care medicine,1
Vasovasostomy,5,The Journal of urology,3
Oocyte Retrieval,5,Fertility and sterility,5
Afghanistan,5,Military medicine,2
Luteal Cells,5,Fertility and sterility,2
"Catheterization, Swan-Ganz",5,Masui. The Japanese journal of anesthesiology,2
Xylella,5,FEMS microbiology letters,2
Synaptic Potentials,5,Nature,2
Dermatoglyphics,5,Human genetics,2
Lymphotoxin beta Receptor,5,Gastroenterology,1
Otters,5,Journal of zoo and wildlife medicine : official publication of the American Association of Zoo Veterinarians,2
Macrophage-Activating Factors,5,"Journal of immunology (Baltimore, Md. : 1950)",2
Bartter Syndrome,5,Clinical nephrology,1
Cyclopentolate,5,Canadian journal of ophthalmology. Journal canadien d'ophtalmologie,1
Epidural Abscess,5,The Laryngoscope,1
"Psychotherapy, Brief",5,Psychological reports,1
RNA-Binding Protein EWS,5,"Science (New York, N.Y.)",1
Caveolin 3,5,American journal of physiology. Cell physiology,1
ral GTP-Binding Proteins,5,Cancer research,1
Primidone,5,Environmental toxicology and chemistry / SETAC,1
Palmitoylcarnitine,5,American journal of physiology. Heart and circulatory physiology,1
Cellular Reprogramming,5,Nature,2
Muramic Acids,5,Infection and immunity,2
"Tooth, Unerupted",5,Journal of the California Dental Association,1
Butyrophenones,5,Journal of chromatography,1
Dupuytren Contracture,5,Vestnik khirurgii imeni I. I. Grekova,1
Cystamine,5,Biochemical pharmacology,2
Calcium Gluconate,5,Journal of pediatric endocrinology & metabolism : JPEM,1
Animal Experimentation,5,The Journal of general virology,1
Anomia,5,Journal of neurosurgery,1
Tectum Mesencephali,5,Developmental biology,1
Rubredoxins,5,Applied and environmental microbiology,1
Pseudomonas Phages,5,Journal of virology,1
"Chromatography, Supercritical Fluid",5,Journal of chromatography. A,5
Clathrin Heavy Chains,5,The Journal of biological chemistry,3
Neuroimmunomodulation,5,Journal of neuroimmunology,3
Physical Therapy Specialty,5,Physical therapy,2
"Encephalomyelitis, Equine",5,Infection and immunity,2
"Encephalitis Virus, Western Equine",5,The American journal of tropical medicine and hygiene,3
Melanosomes,5,The Journal of investigative dermatology,2
Vibrionaceae,5,Proceedings of the National Academy of Sciences of the United States of America,2
Phosphorothioate Oligonucleotides,5,Proceedings of the National Academy of Sciences of the United States of America,1
United States Occupational Safety and Health Administration,5,"Occupational health & safety (Waco, Tex.)",1
Periodontal Attachment Loss,5,Journal of dental research,3
Activin Receptors,5,"Development (Cambridge, England)",1
Recurrent Laryngeal Nerve Injuries,5,"The Annals of otology, rhinology, and laryngology",1
Halorhodopsins,5,Biophysical journal,2
Indolizines,5,Journal of natural products,2
Citrobacter freundii,5,Proceedings of the National Academy of Sciences of the United States of America,1
Proestrus,5,Endocrinology,3
"Amino Acids, Diamino",5,The Journal of biological chemistry,1
Cyclin-Dependent Kinase Inhibitor p18,5,Proceedings of the National Academy of Sciences of the United States of America,1
Bisacodyl,5,Gastroenterology,1
Croton Oil,5,Life sciences,1
"Drug Therapy, Computer-Assisted",5,Studies in health technology and informatics,2
Optical Phenomena,5,Journal of the Air & Waste Management Association (1995),2
Fallopian Tube Patency Tests,5,American journal of obstetrics and gynecology,1
Oncogene Proteins v-abl,5,Blood,1
Hepatopancreas,5,Bulletin of environmental contamination and toxicology,2
Relief Work,5,MMWR. Morbidity and mortality weekly report,1
Pseudouridine,5,Biochemistry,1
Steam,5,Meditsinskaia tekhnika,1
Lysosomal-Associated Membrane Protein 1,5,Nature medicine,1
Siphoviridae,5,Virology,2
Transplants,5,Developmental biology,1
Proton-Motive Force,5,Journal of bacteriology,2
Psittaciformes,5,Journal of the American Veterinary Medical Association,2
"Edema, Cardiac",5,Circulation,3
Floods,5,Proceedings of the National Academy of Sciences of the United States of America,1
Circadian Clocks,5,FEBS letters,1
Plantago,5,Cytogenetic and genome research,1
DNA Virus Infections,5,Journal of wildlife diseases,1
Art Therapy,5,American journal of psychotherapy,1
Hemoglobinuria,5,Journal of the American Veterinary Medical Association,1
Peroxisome Proliferators,5,Biochemical and biophysical research communications,2
"Antibodies, Catalytic",5,Proceedings of the National Academy of Sciences of the United States of America,2
Coke,5,Environmental science & technology,2
Flavoring Agents,5,Proceedings of the National Academy of Sciences of the United States of America,1
Formularies as Topic,5,British journal of nursing (Mark Allen Publishing),1
Low Density Lipoprotein Receptor-Related Protein-5,5,Metabolism: clinical and experimental,1
Breast Self-Examination,5,Vestnik rentgenologii i radiologii,1
"Iraq War, 2003-2011",5,Suicide & life-threatening behavior,1
